Field_1|Field_2|Field3|Topic|Family|pk|DOC|Author|Availability|AvailableDate|Binding|Cover|CrossReference|Description|ExtraDescription|Format|ISBN|ISSN|KeyPhrases|ListID|Note|Price|PriceNonUS|Publisher|QuantityPrice|StandingOrderCode|StatusDate|StockNumber|Subject Bibliography|SuDocsClass|Title|Unit|UnitNonUS|Weight|YearPages|Hyperlink
||||||govtprintingoffice||0. out of print GPO|11-03-99|perfect binding|paper||Presents preliminary data on the financial structure and operations of nonbank United States affiliates of foreign direct investors from the 1997 Benchmark Survey of Foreign Direct Investment in the United States.|||0-16-059086-8||Investments, Foreign Investments, Foreign Corporations||NB1275|15.00||Commerce Dept., Economics and Statistics Administration, Bureau of Economic Analysis|discount||10/23/2003|003-010-00284-1|004PZ 123ES||Foreign Direct Investment in the United States: Preliminary Results From the 1997 Benchmark Survey|each||0.81|1999: 131 p.|
||||||govtprintingoffice||0. out of print GPO|02-05-99|casebound|cloth||United States of America Congressional Record, Proceedings and Debates of the 104th Congress, First Session, V. 141, Pt. 6, March 10, 1995 to March 22, 1995. Item 993-A-01.|||0-16-062600-5||||DSL 99-0020-S 03/01/99. NB1269|39.00||Congress|discount|ZCRBD|02-08-99|052-000-01036-5|201GU|X 1.1:104/1-141/PT.6|Congressional Record, V. 141, Pt. 6, March 10, 1995 to March 22, 1995|each||6.18|1995: 1344 p. (7521-8862 p.)|
||||||govtprintingoffice||0. out of print GPO|06-29-99|casebound|cloth||United States of America Congressional Record, Proceedings and Debates of the 104th Congress, First Session, V. 141, Pt. 13, June 29, 1995 to July 17, 1995.|||||||NB1273|42.50||Congress|discount|ZCRBD|11-05-08|052-000-01043-8|201GU|X 1.1:104/1-141/PT.13|Congressional Record, V. 141, Pt. 13, June 29, 1995 to July 17, 1995|each||6.75|1995: 1488 p. (17731-19215 p.)|
||||||govtprintingoffice||0. out of print GPO|08-26-99|casebound|cloth||United States of America Congressional Record, Proceedings and Debates of the 104th Congress, First Session, V. 141, Pt. 14, July 18, 1995 to July 26, 1995.|||||||NB1274|43.50||Congress|discount|ZCRBD|11-05-08|052-000-01044-6|201GU|X 1.1:104/1-141/PT.14|Congressional Record, V. 141, Pt. 14, July 18, 1995 to July 26, 1995|each||6.50|1995: 1416 p. (19217-20629 p.)|
horticulture||||||govtprintingoffice||0. out of print GPO|08-30-00|perfect binding|paper||Provides information to the public about agriculture in the most comprehensive and general sense of the word. Offers thousands of useful facts about American agriculture and rural communities. Describes USDA's varied programs.|||0-16-050466-X||Agricultural Industries, Agriculture Economics, Agriculture||NB1280|22.00||Agriculture Dept., Office of Communications|discount||9/10/2003|001-000-04689-6|002AM 162BL|A 1.38/2:999|Agriculture Fact Book, 1999|each||1.18|2000: 311 p.; ill.|
||||||govtprintingoffice||0. superseded|06-23-99|self cover / stitch|paper|021-236-00008-0|SB-236. Subject Bibliography 236. June 14, 1999. Issued with perforations. This bibliography lists publications relating to thissubject which are for sale by the Superintendent of Documents. Whenordering, use the SB Number and the Stock Number. Item 552-A|||||||Supersedes GP 3.22/2:236/998, S/N 021-236-00805- 6. Superseded by GP 3.22/2:236/000, S/N 021-236- 00008-0.|0.00||Government Printing Office, Superintendent of Documents|||8/21/2000|021-236-00906-1|925||Naval History|each||2.00|1999: 7 p.|
||||||govtprintingoffice||0. superseded|04-20-00|self cover / stitch|paper|021-237-00103-1|SB-237. Subject Bibliography 237. April 10, 2000. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 55|||||||Supersedes GP 3.22/2:237/998, S/N 021-237-00810- 9. Superseded by GP 3.22/2:237/2001, S/N 021-237- 00103-1.|0.00||Government Printing Office, Superintendent of Documents|||4/18/2001|021-237-00004-3|925||Marine Corps|each||2.00|2000: 5 p.|
||||||govtprintingoffice||0. out of print GPO||perfect binding|paper||This publication is ONLY in the custody of the GPO Exclusive Consigned Sales Agent, the UNITED STATES ARMY CORPS OF ENGINEERS, INSTITUTE FOR WATER RESOURCES, NAVIGATION DATA CENTER, (CEWRC-IWR-N), 7701 TELEGRAPH ROAD, CASEY BUILDING, ALEXANDRIA, VA 22315-|||0-16-061264-0||Harbors, California, San Diego, California||EXCLUSIVE CONSIGNED SALES AGENT PUBLICATION. If the order is received at GPO, GPO will accept appropriate payment, certify money, and route order to t|29.00||Defense Dept., Army, Corps of Engineers|discount||9/24/1998|008-021-00141-1|900||Port Series Report No. 27: Port of San Diego, California|each||0.62||
||||||govtprintingoffice||0. superseded|10-26-01|self cover / stitch|paper|021-245-00212-0|SB-245. Subject Bibliography 245. October 11, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item|||||Election Law||Supersedes GP 3.22/2:245/2000, S/N 021-245-00010- 1. Superseded by GP 3.22/2:245/002, S/N 021-245- 00212-0.|0.00||Government Printing Office, Superintendent of Documents|||1/7/2003|021-245-00110-7|925||Voting and Elections|each||2.00|2001: 9 p.|
new||||||||1. in stock / whse and/or retail / priced||||||||0-314-96467-3||||Complete through the Acts of the 2006 Regular Sessions of the Legislature|40.00||||||0-314-96467-3|||Louisiana Real Estate Laws 2007|||1.00||
treatis lalaw|||50|27|LAprac1.jpg||Mariast|Available at Claitors|||||||||||||370.00||||||LACI1A|||LA Civil Procedure: Special Procedings(Civil Law Treatise Series) Vol. 1A|||3.00||
||||||CAP|LEVASSEUR|Available at Claitors||||||||0-89089-834-0|||||68.00||||||0-89089-834-0|||THE LAW OF EUROPEAN UNION: A NEW CONSTITUTIONAL ORDER, 1ST EDITION|||2.00||
||||||govtprintingoffice||0. out of print GPO||specialty item|||RUS Bulletin 1728F-810. Reprint of the 1998 edition. See note field.||looseleaf|||RUS 811, Cancelled stock Number||This publication was assigned two stock numbers by mistake. It was ordered as a revision but turned out to be a reprint. All orders should be filled u|19.00||Agriculture Dept., Rural Electrification Administration, Rural Utilities Service|discount||07-24-07|001-010-00133-2|||Electric Transmission Specifications and Drawings: 11K-230KV|each||1.06||
||||||govtprintingoffice||0. superseded|08-14-01|self cover / stitch|paper|021-211-00210-1|SB-211. Subject Bibliography 211. August 1, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 55|||||||Supersedes GP 3.22/2:211/000, S/N 021-211-00007- 9. Superseded by GP 3.22/2:211/002, S/N 021-211- 00210-1.|0.00||Government Printing Office, Superintendent of Documents|||11/7/2002|021-211-00108-3|925||Intergovernmental Relations|each||2.00|2001: 2 p.|
||||||govtprintingoffice||0. superseded|05-17-99|self cover / stitch|paper|021-211-00007-9|SB-211. Subject Bibliography 211. May 7, 1999. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552-A|||||||Supersedes GP 3.22/2:211/998, S/N 021-211-00804- 5. Superseded by GP 3.22/2:211/000, S/N 021-211- 00007-9.|0.00||Government Printing Office, Superintendent of Documents|||8/7/2000|021-211-00905-0|925|GP 3.22/2:211/999|Intergovernmental Relations|each||2.00|1999: 4 p.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price|05-19-98|specialty item|||FDA Form 2626A. Issued with perforations. For use by the pharmaceutical industry. Sold in packages of 25 copies only.||folder|0-16-061423-6||FDA Form 2626A, Form 2626A, Pharmaceutical Research, Drugs, Medicine||NB1266|39.50||Health and Human Services Dept., Food and Drug Administration|discount||01-29-09|017-012-00391-5|090HB 119DB||New Drug Application: Chemistry Section (Red Paper Folder)|package||3.12|1989: Paper binder cover.|
||||||govtprintingoffice||0. superseded|08-23-99|perfect binding|paper|003-010-00285-9|Presents revised estimates covering the financial structure and operations of nonbank United States multinational companies and their nonbank foreign affiliates for fiscal year 1996. Item 130-D-06. a|||0-16-059084-1||||Superseded by S/N 003-010-00285-9. NB1273|11.00||Commerce Dept., Economics and Statistics Administration, Bureau of Economic Analysis|discount||10/23/2000|003-010-00281-6|004XB 123SD|C 59.20/2:996/REV./CORR.|United States Direct Investment Abroad: Operations of United States Parent Companies and Their Foreign Affiliates, Revised 1996 Estimates|each||0.68|1999: 112 p.|
||||||govtprintingoffice||0. out of print GPO|01-23-97|specialty item|||Provides guidance to natural resource trustees using the Oil Pollution Act regulations. Includes sections on preassessment phase, injury assessment, compensation formulas, primary restoration, and restoration planning. Item 128-M-02.||cards|0-16-060913-5||Natural Resources, Oil Spills and Wildlife, Compact Disc Read Only Memory (CD-ROM), Electronic Products||System requirements: IBM compatible 386; 4M RAM; 6M free hard drive space; Windows 3.1; VGA or SVGA monitor; ISO 9660 CD-ROM drive; and MS CD- ROM ext|25.00||Commerce Dept., NOAA, Damage Assessment and Restoration Program|discount||3/5/2004|003-017-00548-8|900||Guidance Documents for Natural Resource Damage Assessment Under the Oil Pollution Act of 1990: NOAA, Damage Assessment and Restoration Program (CD-ROM)|each||0.25|1996: CD-ROM and paper insert in plastic|
||||||govtprintingoffice||0. out of print GPO||specialty item|||Docket R000-1. EST. DELIVERY DATE 03/16/01.||microfiche|||Docket R000-1||SOLD ONLY in the GPO Main Bookstore, 710 North Capitol Street, Washington, DC.|1.00|||discount||3/19/2002|052-062-00100-1|900||Decisions of the Governors of the UNited States Postal Service on the Recommended Decisions of the Postal Rate Commission, March 5, 2001|each||2.00||
||||||govtprintingoffice||0. out of print GPO|01-23-01|paper cover / stitch|paper||Labor Statistics Bureau Bulletin 2522. Provides an overview of industry and occupational employment projections for the 1998-2008 period. Focuses on industries and occupations that will generate the largest portion of the projected job growth. Discusses t|||0-16-050595-X||Labor Statistics Bureau Bulletin 2522, Occupations, Employment Forecasting, Job Satisfaction||Supersedes S/N 029-001-03300-1. The price of this item has been reduced. This reduced price is reflected in the price field. No discounts are availabl|3.00||Labor Dept., Labor Statistics Bureau|no discount||01-29-07|029-001-03367-2|044DL||Employment Outlook, 1998-2008: Occupational Change From an Industry Perspective|each||0.68|2000: 79 p.; ill.|
||||||govtprintingoffice||1. in stock / whse and/or retail / price||specialty item|||Published in cooperation with the Sunday Times of London on the occasion of the Bicentennial of the American Revolution. Poster gives detailed information about the American Army during the Revolutionary War. Item 646-S.||poster, flat|0-16-003426-4||Posters, Soldiers, American Revolution, Military History||1979 SL 27Y9 May 1982 SL 17T2 QC014N3 QC021Y4|8.00||Interior Dept., National Park Service|discount||05-21-08|024-005-00622-2|057AS 144HP|I 29.20:C 76|Continental Soldier in the War for American Independence|each||0.37|1976: Poster, 29x39 in.; 1984-repr.|
||||||govtprintingoffice||0. superseded|03-21-01|self cover / stitch|paper|021-289-00204-6|SB-289. Subject Bibliography 289. March 6, 2001. Issued with perforations. This bibliography lists publications relating to this subject which are for sale by the Superintendent of Documents. When ordering, use the SB Number and the Stock Number. Item 552|||||||Supersedes GP 3.22/2:289/2000, S/N 021-289-00004- 3. Superseded by GP 3.22/2:289/2002, S/N 021-289- 00204-6.|0.00||Government Printing Office, Superintendent of Documents|||5/1/2002|021-289-00103-1|925||Europe|each||2.00|2001: 11 p.|
||||||govtprintingoffice|Kent, Richard J., Jr.|0. out of print GPO|02-26-88|paper cover / stitch|paper||This publication is Volume 4 in a series of histories tracing the Federal Government's role in the promotion and regulation of civil aviation since 1926. Cited as part of the FAA History Series. Item 431-C-8.|||0-16-005179-7||Aviation Policy, Commercial Aviation, Federal Aviation Administration, History||NB1204|17.00||Transportation Dept., Federal Aviation Administration|discount||10/11/2001|050-007-00566-1|018FH 141MA||Safe, Separated and Soaring: A History of Federal Civil Aviation Policy, 1961-1972 (Paper Edition)|each||1.31|1980: 428 p.; ill.|
||||||govtprintingoffice||0. out of print GPO|07-06-99|specialty item|||Contains reliable information on agricultural production, supplies, consumption, facilities, costs, and returns. Includes tables of annual data which cover a wide variety of facts in forms suited to most common uses. Item 0001-A.|||0-16-060822-8||Agricultural Statistics, Agricultural Economics, Compact Disc Read Only Memory (CD-ROM), Electronic Products||System requirements For PC: IBM compatible 386; 4M RAM; Microsoft Windows 3.1; VGA display; and ISO 9660 CD-ROM drive and MS CD-ROM Extensions 2.11. F|13.00||Agriculture Dept., National Agricultural Statistics Service|discount||5/2/2000|001-000-04655-1|162BB 273AK 314CO|A 1.47/2:999|Agricultural Statistics, 1999 (CD-ROM)|each||0.25|1999: CD-ROM.|
